ra,dec,u,g,r,i,z,objid,specobjid,class,subclass,survey,plate,mjd,fiberid,ra1,dec1,u1,g1,r1,i1,z1,objid1,specobjid1,class1,subclass1,survey1,plate1,mjd1,fiberid1,cor,number_of_matches
132.128943244224,63.0292991819461,19.28913,17.61545,16.85558,16.55892,16.40539,1237663788497764600,3697550759030792e3,STAR,K1,segue2,3284,54907,347,332.329459832962,-9.49906987763204,18.77371,17.14459,16.5933,16.39424,16.28676,1237652598496297e3,2599763157668882400,STAR,F9,segue1,2309,54441,219,0.7660199243616074,36777
355.700234079965,39.9303383579938,20.24612,18.77745,18.1609,17.88713,17.75065,1237662962246419e3,2119038787160926200,STAR,F9,segue1,1882,53262,346,166.968018283542,23.1378834624152,19.12716,18.18412,17.85315,17.75081,17.75141,1237667910586007600,7237545840541147e3,STAR,F3/F5V (30743),boss,6428,56279,950,0.7858775880540503,89195
127.733845963854,31.994997171171,19.08038,19.1022,18.95247,18.29372,17.77101,1237658203954741200,1049359372976678900,STAR,M3,sdss,932,52620,75,158.040735669708,37.3798671003712,19.16405,18.83695,18.90416,18.31469,17.68905,1237662225668898800,2221532790053169200,STAR,WD,sdss,1973,53432,481,0.4365507765916022,116
124.882507518435,36.5678944342262,20.32497,18.13343,17.24266,16.90899,16.75389,1237657593539461400,3635609496082030600,STAR,K3,segue2,3229,54876,286,45.377526791989,6.72440474693559,19.20055,17.66283,16.96001,16.69455,16.53799,1237667229838803200,2597575667021277e3,STAR,F9,segue1,2307,53710,453,0.4490795683467914,15155
166.591609395715,61.2606620700836,18.76255,17.87251,17.50227,17.40508,17.40299,1237653618009374700,871587028859381800,STAR,F5,sdss,774,52286,511,130.034994014736,5.60897644460118,16.99383,15.73093,15.6207,15.61807,15.67242,1237660412109586700,3707640702595866600,STAR,A0,segue2,3293,54921,190,0.9819208606033866,89137
71.4810909166767,24.1209233443771,17.76938,16.06565,15.46268,15.19438,15.06112,1237660557062898e3,1415285369351465e3,STAR,A0,sdss,1257,52944,106,128.20039986835,41.26181132745,18.19435,17.2129,16.87664,16.74168,16.73195,1237657595152302300,4287461022610989e3,STAR,F3/F5V (30743),boss,3808,55513,124,0.9799798162593716,74696
135.143502986649,3.87494589001242,17.44563,15.9544,15.382,15.2043,15.10931,1237654606388592600,3251767781980399600,STAR,F9,segue1,2888,54529,614,289.441764839742,63.6015488128641,19.70858,18.40173,17.87582,17.70374,17.6027,1237671970936849200,2874514898841266e3,STAR,F9,segue1,2553,54631,336,0.9762777001774032,45500
255.069908426638,28.8532727951625,17.67871,15.91883,15.27082,15.01301,14.86856,1237659324424192300,3161654557663062e3,STAR,F9,segue1,2808,54524,464,55.0186090535699,-0.566573164210977,19.30156,18.0257,17.45133,17.24291,17.1401,1237666300020785400,8254045996046066e3,STAR,G4V (32923),boss,7331,56658,268,0.9596086881603608,31670
49.1075261245692,-0.559660744993068,20.16447,18.64874,18.05301,17.83061,17.69216,1237666300018164e3,3583787588198179e3,STAR,K1,segue2,3183,54833,175,358.949595808157,0.872482350027797,19.31088,17.9146,17.3992,17.20759,17.11352,1237663278464172300,1228454428709775400,STAR,F9,sdss,1091,52902,355,0.8734503356727632,43448
214.420547546966,-1.2360969992883,19.68024,17.13159,15.90773,15.4474,15.18943,1237655693547471e3,342346166442158100,STAR,K7,sdss,304,51609,264,178.833629416196,12.9382121071727,18.92713,16.55186,15.57808,15.25978,15.09473,1237661813345943600,369869919961387e4,STAR,K5,segue2,3285,54948,429,0.9223059637664428,5519
210.505317694694,-9.8306507370897709,18.05452,16.48774,15.80318,15.5168,15.36755,1237671957524447500,3057985731193497600,STAR,F9,segue1,2716,54628,151,191.08156016181,58.8915155007486,18.46092,17.26034,16.75882,16.54037,16.43163,1237658310795e6,2754030138785032e3,STAR,G2,segue1,2446,54571,287,0.9047622242691792,32534
222.70942708736,0.854951977335127,20.41739,19.46245,19.24205,19.1417,19.12811,1237648705668055300,3303558354688829400,STAR,A0,segue1,2934,54626,611,124.438464182044,21.1040668901847,18.95645,17.83426,17.83827,17.88078,17.95007,1237664091822555100,2167524777135204400,STAR,A0,sdss,1925,53327,609,0.9948335856534672,39885
186.188096325078,-2.43252139459495,19.18349,18.1378,18.07235,18.08083,18.1343,1237650761856385e3,375100354766858240,STAR,A0,sdss,333,52313,639,329.415248233841,-9.03888931284703,18.01858,16.78173,16.84978,16.93877,16.9743,1237652598495051800,807351363594905600,STAR,A0,sdss,717,52468,295,0.999854265277213,18152
162.825670797333,27.4673753943333,19.24377,18.07203,17.64919,17.468139999999998,17.44049,1237667210520887300,3673870027012022300,STAR,G2,segue2,3263,54887,213,10.3974882254235,25.0202807949447,18.08395,16.91948,16.49788,16.36186,16.30493,1237678580369719300,2294711884189821e3,STAR,G2,segue1,2038,53327,465,0.9902723405511448,64827
178.226397624091,-3.0155661564036,17.87863,16.77022,16.38026,16.22565,16.1858,1237650369944289300,371591814118926340,STAR,F2,sdss,330,52370,163,183.570736372321,35.351230752602,18.7065,17.77515,17.52798,17.42816,17.40946,1237665025441464300,5193859926951174e3,STAR,F3/F5V (30743),boss,4613,55591,304,0.97589816666524,98813
172.949492836129,-2.07166689400221,18.19975,16.97635,16.52706,16.37185,16.29126,1237650371015737300,367214108656822300,STAR,F9,sdss,326,52375,621,244.382217786278,34.8943269732343,19.0084,18.12461,17.86217,17.75103,17.73065,1237662501081776400,5588978778892116e3,STAR,F0IV (81937),boss,4964,55749,42,0.9355134095798634,91074
263.801111537438,8.51606882201548,18.28689,16.66779,15.99155,15.72759,15.60055,1237671696598106400,3149315015085943e3,STAR,F9,segue1,2797,54616,629,249.800734284864,35.9407989293268,17.62042,16.21196,15.6945,15.51546,15.44881,1237659329780252700,2538967846537501700,STAR,F9,segue1,2255,53565,231,0.9889733959340732,46128
34.1659990890376,0.85991973012746,17.18917,16.14065,15.72085,15.60743,15.57493,1237680001452081400,1696890377052645400,STAR,G0,sdss,1507,53763,579,350.623602026084,-3.60829968111592,17.85825,16.9376,16.63249,16.52158,16.47133,1237679996091039700,4907886297442394e3,STAR,F0IV (81937),boss,4359,55533,322,0.9700511287843874,93169
172.250126764434,9.04219981188245,19.36264,16.73821,15.548,15.11096,14.89125,1237658491739111700,3638911054723e6,STAR,K7,segue2,3232,54882,9,171.697193204507,63.2894887161728,20.06647,17.91931,17.01116,16.70724,16.53858,1237654398079795500,3743629917548552e3,STAR,K5,segue2,3325,54942,46,0.7693598779194117,7470
237.634791745155,27.7210876650346,17.98615,16.7452,16.31486,16.17581,16.10691,1237662305125269500,2768680306138441700,STAR,F9,segue1,2459,54544,336,128.12546443476,9.49603738927924,19.90086,18.67699,18.43963,18.36823,18.35132,1237671123757564200,2895841016726710300,STAR,A0,sdss,2572,54056,96,0.950456828976838,111090
222.218308793221,23.3094273687713,18.91701,17.50303,16.91224,16.68393,16.57839,1237665532788932600,3813487663848202e3,STAR,F9,segue2,3387,54951,235,179.22027026723,48.5324628850161,19.59239,18.36951,17.82874,17.62138,17.52114,1237660637076193500,3572482684787728400,STAR,F9,segue2,3173,54849,8,0.9297678716438652,35876
78.5005371985803,17.3616847503267,18.61692,16.52358,15.5966,15.238,15.02009,1237673453244383500,3004006298212657e3,STAR,K3,segue1,2668,54084,383,70.1995140069812,22.6130976318135,19.23046,17.69473,16.95542,16.62142,16.44153,1237673328694264300,3018627883968e6,STAR,F9,segue1,2681,54397,328,0.5466913043379238,6473
221.510457626899,22.1842518252221,19.36421,18.473020000000002,18.19955,18.07642,18.04985,1237665531178189e3,664757703422559e4,STAR,F3/F5V (30743),boss,5904,56046,960,125.378821423811,3.57621158465917,18.70712,17.54497,17.42348,17.44822,17.53462,1237658298982662400,1334269499259512800,STAR,A0,sdss,1185,52642,284,0.9849619713105328,92443
136.633296859323,62.9740522295017,19.17055,17.81952,17.21874,16.96605,16.85045,1237663915735187700,3697605459734274e3,STAR,F9,segue2,3284,54907,546,261.890916442567,63.3121613894627,17.31206,16.32009,16.01384,15.89186,15.84984,1237671938731475200,2872227913330092e3,STAR,F5,segue1,2551,54552,208,0.8900750770546291,85252
185.569619749067,5.95175207287782,19.96654,17.6388,16.66552,16.31817,16.13186,1237655126620307700,3661588207352520700,STAR,K5,segue2,3252,54893,588,192.257340618031,29.4916172969666,19.17971,17.09701,16.25307,15.93143,15.77639,1237665441514782700,3643492444965806e3,STAR,K3,segue2,3236,54892,292,0.8344566514818361,7968
335.319081103874,39.1487802550168,17.54216,16.46968,16.07549,15.90856,15.82552,1237672025709347e3,2949912255522695e3,STAR,A0,segue1,2620,54397,198,318.035509894019,-2.48946364645071,18.67197,17.73331,17.41774,17.28361,17.27753,1237680192040927500,4933797391969e6,STAR,F3/F5V (30743),boss,4382,55742,378,0.9832147020942268,74764
52.1517528808558,6.30844637756188,18.78374,17.14204,16.37926,16.04533,15.82989,1237673327610036200,2633646795556677600,STAR,G2,segue1,2339,53729,607,307.206586766564,13.4822180849077,20.34475,18.86175,18.28919,17.97515,17.82303,1237666428818230300,2541172917895457e3,STAR,F9,segue1,2257,53612,61,0.6617635958644317,4772
9.22875857886186,26.0579197127002,20.017,18.03775,17.18636,16.89948,16.69898,1.2376800717817121e+018,3529862039356940300,STAR,K3,segue2,3135,54770,603,199.034100141252,39.1317404533629,17.89214,16.42837,15.80404,15.53663,15.39683,1237664294758252500,3265129872585943e3,STAR,G2,segue1,2900,54569,73,0.4856076857936336,16449
177.737065692757,12.3846869711694,19.16687,17.35503,16.53705,16.19495,16.02196,1237661949714563300,3653554900538859500,STAR,K3,segue2,3245,54894,35,351.049818707033,31.5718268739382,20.19185,19.08763,18.55326,18.32783,18.17914,1237680473909166300,7321729953103323e3,STAR,F6V (16673),boss,6503,56564,10,0.4176095484437359,29356
290.377792926599,37.2228514113166,17.73392,16.6729,16.284,16.12053,16.05277,1237672003686499800,3152548124162104300,STAR,F5,segue1,2800,54326,103,224.967793499768,-0.464547760735989,19.28733,18.28445,18.13954,18.09552,18.13786,1237648720713548e3,3731245019043045400,STAR,A0,segue2,3314,54970,46,0.9842485261395144,95151
221.378161272869,63.0791697682623,17.66637,16.75104,16.47339,16.3785,16.34745,1237651539255951400,7862347174134129e3,STAR,F3/F5V (30743),boss,6983,56447,684,195.071645862234,26.5440404971168,16.97889,16.17078,15.95843,15.87165,15.89697,1237667442438176800,2522018054490056700,STAR,A0,sdss,2240,53823,8,0.985677815022798,100212
173.798287234052,47.6030111840891,18.20851,17.42315,17.10019,16.96097,16.94258,1237660636537749500,3748255563436368e3,STAR,F5,segue2,3329,54970,490,153.619927480204,59.2072559943779,18.95349,17.98147,17.67301,17.55314,17.54322,1237654383056519200,629486113798514700,STAR,F5,sdss,559,52316,393,0.998715713758685,86856
255.421629063418,23.4415106642467,18.07713,16.75957,16.1956,15.94032,15.81438,1237662301915840500,3704356186821337e3,STAR,F2,segue2,3290,54941,529,44.1057317519725,-8.026989847938,19.99482,18.81462,18.522,18.42567,18.39668,1237652900230332400,794781166563804e4,STAR,A0IVn (25642),boss,7059,56592,306,0.9368597561884884,102210
50.5470286903707,5.06761145518728,17.90157,16.49035,15.89941,15.65275,15.57101,1237670015664259e3,2627912017515669500,STAR,F9,segue1,2334,53713,224,119.589793881922,28.3518015356369,17.67241,16.5528,16.24173,16.16087,16.13784,1237657774998487300,967284123414587400,STAR,F5,sdss,859,52317,495,0.9531485484131338,98687
32.0411361590634,0.447840954574637,17.02472,15.94541,15.59354,15.47427,15.45077,1237663784748318700,1752050676009035800,STAR,F5,sdss,1556,53740,547,242.202699770035,4.97666489298991,19.7102,18.76118,18.52891,18.43909,18.40803,1237655745100120300,2461236510406502400,STAR,A0,segue1,2186,54327,70,0.9834391604661692,103103
171.98477293702,-2.1996778562133,20.04458,17.5221,16.41781,16.03765,15.83058,1237650371015278800,3640069940129669e3,STAR,K5,segue2,3233,54891,129,333.366736549687,0.757041341197334,19.76296,17.44883,16.41337,16.05675,15.8593,1237663544221172200,1243107620340918300,STAR,K5,sdss,1104,52912,415,0.980689947964988,3838
50.3482960230356,18.5475158354705,18.15205,16.88407,16.2559,15.98018,15.8232,1237673284662198300,3637923418537566e3,STAR,F5,segue2,3231,54890,512,75.3707495844327,-4.85640419963155,20.10023,18.66422,18.05094,17.79657,17.70385,1237674283779424500,3613037072622919700,STAR,K1,segue2,3209,54906,88,0.869410602558354,19506
231.181223461643,31.4993922965637,18.84601,18.34141,18.26618,18.27096,18.35507,1237662305659191300,156166060649745e4,STAR,CV,sdss,1387,53118,136,309.535899515583,15.8449339046603,18.91512,18.42405,18.56892,18.74146,18.9847,1237666246282838300,2542426922919422e3,STAR,WD,segue1,2258,54328,527,0.9767634498855198,15549
193.661029507619,60.470837366527,18.39588,17.02963,16.54155,16.37471,16.29847,1237658312942944300,2754097758750140400,STAR,F9,segue1,2446,54571,533,32.7596195149938,-3.95189219290131,19.73336,18.86493,18.55822,18.45945,18.49156,1237669770838802700,8148288645561819e3,STAR,F3/F5V (30743),boss,7237,56662,549,0.9595876779212608,97847
171.315566472056,-6.7570189321526,18.66695,16.98865,16.40185,16.21388,16.14488,1237671142551126300,3221290694953953300,STAR,F9,segue1,2861,54583,331,328.339439767023,0.453466048210024,20.30938,19.33891,19.03272,18.87866,18.84055,1237663479793451500,1298294858070386700,STAR,A0,sdss,1153,52933,481,0.8835433144922246,55316
345.922972119511,7.19691704329558,19.09571,17.722,17.12704,16.8512,16.709,1237669517972603100,2601000920619706400,STAR,F9,segue1,2310,53710,626,237.764490752766,27.5932546468777,17.66486,16.68156,16.37866,16.25843,16.25041,1237662305125335e3,276868855247565e4,STAR,F5,segue1,2459,54544,366,0.7386519820523356,86681
355.871518498369,15.3759015940859,20.19276,17.56734,16.31527,15.81101,15.51878,1237656242780963e3,2132592191749515300,STAR,K7,segue1,1894,53240,501,169.644134587672,57.9078665014307,19.90842,17.46432,16.25751,15.79482,15.52376,1237655106763817200,2695430566735538e3,STAR,K7,segue1,2394,54551,95,0.9660620788817926,996
357.932210943787,37.8117156036799,19.25348,17.58211,16.90771,16.63668,16.49985,1237663234448228900,2116802930265843700,STAR,K1,segue1,1880,53262,404,152.720526122395,35.8053607698924,20.03173,18.35765,17.70515,17.45146,17.37147,1237662225666867500,2687660030081132500,STAR,K1,segue1,2387,53770,498,0.9356005394425472,18551
161.602285055635,62.9454848886314,17.53782,16.24395,15.77473,15.6121,15.54146,1237651250957582300,3244916724507633700,STAR,F9,sdss,2882,54498,266,169.137742053681,18.7883781782243,20.02788,19.15063,18.75989,18.61226,18.56814,1.2376679148769119e+018,3233625290433390600,STAR,F5,segue1,2872,54533,148,0.9760471709460734,65878
142.382413844131,1.24941271663972,20.21949,18.84965,18.24381,17.99946,17.92848,1237653664181780700,8391559717835481e3,STAR,G0 (63791),boss,7453,56749,828,144.509570802868,6.98808930181074,20.33004,19.26357,18.91014,18.75134,18.70533,1237658491727053e3,3547729103878725600,STAR,F5,segue2,3151,54804,67,0.9357703055778126,58882
41.5700530088212,0.781663441835806,19.07798,17.31814,16.56997,16.30772,16.14791,1237678617436029e3,796136065231513600,STAR,K1,sdss,707,52177,454,169.576512832094,-11.3741863481089,18.17354,16.89932,16.35693,16.12553,15.99328,1237671141475287e3,3219074629050067e3,STAR,F2,segue1,2859,54570,461,0.836844436038347,26829
312.30177347465,-0.283574346201926,19.96876,18.06108,17.27733,16.97847,16.8034,1237656568111957e3,125653513155277e4,STAR,K3,sdss,1116,52932,112,117.784007186782,28.131342063219,20.070430000000002,18.08196,17.35501,17.12218,16.99064,1237657630579163400,1192491047867934700,STAR,K1,sdss,1059,52618,593,0.9250914097054136,15042
141.610365271066,14.9616244545234,16.91491,15.72431,15.30275,15.1595,15.11814,1237670965386215400,3594024041385664500,STAR,F9,segue2,3192,54829,551,128.953522581699,25.1841143276559,17.82677,16.8446,16.51777,16.40329,16.38033,1237664093435658200,2606623548726339600,STAR,F5,segue1,2315,53741,601,0.9822034049933648,87281
132.772944076401,2.91079964683767,18.22106,17.2859,16.98451,16.87469,16.81951,1237654605313802500,4.2943038335955517e+018,STAR,F3/F5V (30743),boss,3814,55535,442,229.751883401844,58.5545532936793,17.66936,16.5073,16.32546,16.28866,16.34332,123765153764796e4,689204984373340200,STAR,F5,sdss,612,52079,561,0.9772467149926132,103713
206.412481399189,20.1539849337025,20.18006,19.25484,18.92357,18.82064,18.79968,1237667733980774400,6587674541719265e3,STAR,F3/F5V (30743),boss,5851,56075,124,114.040807415884,67.260595623417,20.30573,19.33943,19.06866,18.97289,18.90653,1237667208362787e3,3314741760604793e3,STAR,A0,segue1,2944,54523,336,0.9814166845865872,104958
132.893363946,12.0868958833255,18.03161,16.69578,16.12982,15.93614,15.83105,1237671262809162e3,3002921356087106600,STAR,F9,segue1,2667,54142,532,105.875622728253,13.4793347852554,18.64744,17.36872,16.94079,16.78945,16.73972,1237673843544686600,305358795588609e4,STAR,G2,segue1,2712,54409,536,0.982252692222559,61940
155.133388360728,36.027625320216,18.78203,17.6452,17.19511,16.99521,16.96109,1237664668435218400,354897072733406e4,STAR,G2,segue2,3152,54801,488,208.305236871796,31.9396572755954,18.33494,17.45966,17.22699,17.11527,17.13429,1237665127478788e3,4347202982896443400,STAR,F0IV (81937),boss,3861,55274,376,0.967252438901184,82530
106.414833603478,13.0308900753676,19.30299,17.11538,16.21139,15.90113,15.74154,1237673808648209400,3053589330275625e3,STAR,K3,segue1,2712,54409,541,117.107041738172,31.0173464411687,19.53776,17.94233,17.26697,17.00997,16.87356,1237657595146338800,3564690445562913e3,STAR,K1,segue2,3166,54830,332,0.8811507836275532,17121
116.684049479793,44.0606723857603,18.04145,16.83197,16.41895,16.25288,16.19923,1237651497367372e3,3631194956510634e3,STAR,G2,segue2,3225,54853,610,151.473047683773,20.3496075116814,18.47355,17.47209,17.11352,16.98928,16.95249,1237667540680441900,2670745143165872e3,STAR,F5,sdss,2372,53768,402,0.9823009536187912,76999
339.961247702133,23.5839406138001,18.24183,16.74561,16.14708,15.90295,15.77494,1237666434726953200,2535628079968053e3,STAR,F9,segue1,2252,53565,369,353.06328787835,0.566536631068116,19.20902,18.14523,17.75387,17.59505,17.51039,1237663277924745200,1231861808902465500,STAR,F2,sdss,1094,52524,463,0.9458271090836976,61203
244.730922307179,17.5579988803949,19.30729,18.00712,17.46745,17.22873,17.0765,1237671690691281e3,2451254597952497700,STAR,G2,segue1,2177,54557,620,131.400009931895,0.449885035963141,17.8701,16.54028,16.05597,15.89975,15.84288,1237650796750438400,8390478622960361e3,STAR,G1V (95128),boss,7452,56745,991,0.920505187766883,54092
43.7977114092622,5.77894009408048,19.96139,18.82907,18.28993,18.04745,17.94218,1237670015661310200,4792039552377135e3,STAR,F3/F5V (30743),boss,4256,55477,762,214.519464811929,35.1848233888657,19.49272,18.55691,18.18911,18.04978,17.99569,1237662661596021e3,3727915972259062e3,STAR,F5,segue2,3311,54943,223,0.9811971475028344,70484
92.3679730954003,65.3397561965381,18.14072,16.56012,15.94048,15.69475,15.59828,1237667208358920200,2588556373155408e3,STAR,F9,segue1,2299,53711,409,131.388887462641,52.2317460256021,18.30036,17.17595,16.74912,16.58566,16.52884,1237651251486064600,503397411494848500,STAR,G2,sdss,447,51877,437,0.975601613981286,58847
259.243811122637,40.8695268584408,18.4966,16.79002,16.1294,15.88019,15.78445,1237665583795667e3,2529920525241785300,STAR,K1,segue1,2247,54169,85,250.799572715978,32.7768162961245,18.8591,17.56702,17.02172,16.80021,16.70383,1237659162816544800,3918221919635218400,STAR,F9,segue2,3480,54999,328,0.8362843155101914,30718
213.642403865248,10.43061970057,19.9943,18.63928,18.08961,17.8703,17.77044,1237661949193159e3,6142973213980729e3,STAR,G4V (32923),boss,5456,55980,230,334.893763873803,-7.82363761853447,17.87159,16.31302,15.80664,15.61813,15.53696,1237656539659567e3,810740603791894500,STAR,F9,sdss,720,52206,337,0.9760746181866662,45411
